carretera_codigo,tramo_nombre,estacion_id,estacion_nombre,velocidad_media,imd_ascendentes,imd_descendentes,imd_total,imd_pesados
TF-82,Las Canales,349,ANTES DEL TUNEL ICOD,50.85,1094,1535,2629,93
TF-82,Acceso La Vega,350,ANTES DE GENOVÉS,0.0,,,2155,76
TF-82,Acceso a Garachico,351,EL TANQUE-PTO ESCONDIDO,0.0,,,3069,91
TF-82,Acceso a Tierra del Trigo,353,CAMEL PARK- EL TANQUE,0.0,,,6795,240
TF-82,Ruigomez,354,RUIGOMEZ,47.87,3112,3400,6512,269
TF-82,Erjos,355,PASANDO ERJOS,0.0,,,6454,268
TF-82,Santiago del Teide,357,ERJOS-SANTIAGO DEL TEIDE,0.0,,,10459,416
TF-82,Acceso a Arguayo,359,PASADO SANTIAGO DEL TEIDE,0.0,,,13068,515
TF-82,Tamaimo,361,ANTES DE TAMAIMO,0.0,,,3566,147
TF-82,CHIO,363,ANTES DE CHIO,0.0,,,3809,115
TF-82,Acceso a Playa de San Juán,365,ANTES GUIA ISORA,0.0,,,3922,119
TF-82,Acceso a Vera de Erques,369,PASADO GUIA DE ISORA,55.96,1803,1768,3571,111
TF-82,Acceso a Tijoco Alto,371,BARRANCO ERQUES,82.67,2042,2127,4169,111
TF-82,Acceso a la Quinta,373,ENTRE TIJOCO Y TAUCHO,0.0,,,7000,212
