carretera_codigo,tramo_nombre,estacion_id,estacion_nombre,velocidad_media,imd_ascendentes,imd_descendentes,imd_total,imd_pesados,año
TF-514,Izaña,685,IZAÑA,0.0,,,294,11,2021
TF-523,La Cumbre,687,ARAFO LOS LOROS,0.0,,,1873,44,2021
TF-525,Arafo,689,ARAFO (CHOGO),0.0,,,4193,98,2021
TF-532,La Zarza,691,ANTES DE LA ZARZA,0.0,,,306,7,2021
TF-532,La Sombrera,693,SABINA ALTA,0.0,,,353,8,2021
TF-534,El Bueno,695,EL BUENO DESDE TF-28,0.0,,,124,3,2021
TF-555,Las Vegas,697,A LAS VEGAS,0.0,,,540,11,2021
TF-561,El Frontón,699,EL FRONTON,0.0,,,720,16,2021
TF-563,Calle El Portillo,701,SUBIDA EL FRONTON,0.0,,,1675,38,2021
TF-563,Acceso a el Frontón,703,PASADO EL FRONTON,0.0,,,731,17,2021
TF-563,Vilaflor,705,COOPERATIVA-VILAFLOR,0.0,,,603,14,2021
TF-565,Acceso a Jama,707,EL ROQUE,0.0,,,1086,25,2021
TF-565,La Escalona,709,JAMA-LA ESCALONA,0.0,,,743,9,2021
TF-567,Ifonche,711,LA ESCALONA-IFONCHE,0.0,,,825,8,2021
TF-583,Taucho,713,A TAUCHO,0.0,,,1730,59,2021
TF-585,Tijoco de Arriba,715,TIJOCO ALTO,0.0,,,1217,37,2021
TF-61,Autopista del Sur,311,DE GÜIMAR A LA TF-1,54.23,5200.0,5297.0,10497,193,2021
TF-61,Puerto de Guímar.,313,TF-1-EL PUERTITO,0.0,,,12795,298,2021
TF-616,Los Barrancos,718,LA CALETA,0.0,,,651,15,2021
TF-616,El Tablado,719,A EL TABLADO,0.0,,,582,14,2021
TF-617,El Escobonal,721,EL ESCOBONAL,0.0,,,1373,32,2021
TF-620,Fasnia,723,LOS ROQUES,0.0,,,1691,39,2021
TF-620,Fasnia,724,FASNIA (HOYA PERERA),0.0,,,996,23,2021
TF-622,Acceso a Icor,725,CARRETERA ICOR,0.0,,,1277,30,2021
TF-625,Autopista del Sur,727,ARICO (TOSCONITO),0.0,,,2471,67,2021
TF-625,Porís de Abona,729,,0.0,,,3449,92,2021
TF-627,Villa de Arico,731,EL PORIS CAR.EL LOMO,0.0,,,221,5,2021
TF-631,TF-632,734,San Miguel e Tajao,0.0,,,754,17,2021
TF-632,San Miguel de Tajao,733,A S. MIGUEL DE TAJAO,0.0,,,2534,51,2021
